#,PairIdx,Rank,Word1,Word2,Joke,GPT_Score,Mistral_0to4,Mistral_Norm,Final_0to10,Human_Rating
1,1,1,banana,satellite,"Engineers designed a banana‑shaped satellite that peels off data as it circles Earth, proving that even fruit can be a high‑tech spy.",7.90,2.34,5.23,6.83,
2,1,2,banana,satellite,"The banana wanted a career in aerospace, so it trained to become a peel‑orbiting satellite—always staying on the same wavelength and never slipping up.",7.90,2.13,4.76,6.64,
3,1,3,banana,satellite,"The banana launched its own satellite and named the mission “Peel‑One”, because every time it transmitted, the signal left a little slip of humor.",7.90,1.54,3.35,6.08,
4,1,4,banana,satellite,I caught a banana hitching a ride on a satellite; apparently it heard the phrase “going bananas in space” and took it literally.,6.10,2.46,5.53,5.87,
5,1,5,banana,satellite,"A banana on a kitchen counter looks a lot like a tiny satellite dish—both stare up, waiting for a signal, one for microwave cravings, the other for Netflix.",6.10,2.26,5.00,5.66,
6,1,6,banana,satellite,What did the banana satellite say to the lemon satellite? You're just a yellow fruit.,5.70,2.25,4.99,5.41,
7,1,7,banana,satellite,"What's the difference between an iPhone X and a banana? One is a revolutionary product from Apple, and the other is a yellow fruit that'll turn brown if you rub it too hard.",4.60,2.19,4.86,4.71,
8,1,8,banana,satellite,What do you call a banana that's in a satellite? A space banana.,4.40,2.29,5.07,4.67,
9,1,9,banana,satellite,What do you call a banana with a broken leg? A yellow car with no driver.,4.00,2.33,5.20,4.48,
10,1,10,banana,satellite,What's yellow and flashes? A banana with a loose connection.,4.00,2.23,4.94,4.38,
11,1,11,banana,satellite,I've just read that article about the banana with a loose connection. It really is a shocking story.,3.40,2.35,5.23,4.13,
12,2,1,angry,teacup,"I walked into the kitchen and saw an angry teacup leading a protest against sugar, chanting, ""No more sweet talk!"" while the mug filed a restraining order.",7.10,2.48,5.60,6.50,
13,2,2,angry,teacup,"An angry coworker is like a teacup left on the stove: you can see the steam rising, you know it’s about to boil over, but you still keep sipping the gossip.",6.60,2.56,5.81,6.29,
14,2,3,angry,teacup,"The yoga instructor told the angry teacup to find its inner peace, but it just wobblied on the mat, spilling its feelings and spilling tea at the same time.",6.20,1.92,4.30,5.44,
15,2,4,angry,teacup,"The angry teacup was so upset it kept ""steeping"" over every tiny spill—turns out you can’t handle pressure without a proper lid.",6.10,1.97,4.43,5.43,
16,2,5,angry,teacup,"In the emotional pantry, an angry teacup is a perfect blend—a tiny vessel that brews a storm of resentment, proving even the smallest cups can hold a tempest.",6.20,1.90,4.25,5.42,
17,2,6,angry,teacup,How do you make a boiling teacup angry? You take away its lid.,5.50,2.36,5.27,5.41,
18,2,7,angry,teacup,I got fired from my job at the tea shop. I had a grudge against customers.,4.60,2.61,5.94,5.14,
19,2,8,angry,teacup,"I was furious when my wife tried to force feed our young son...   ""Just use a spoon!"" I yelled. ""You're not a bloody teacup!""",4.40,2.60,5.92,5.01,
20,2,9,angry,teacup,An angry teacup threw a cup of tea at me today I was in shock,4.35,2.46,5.54,4.83,
21,2,10,angry,teacup,I called the cops about a murder on my front lawn and they just hung up. They said they couldn’t do anything about a “boiling teacup.”,2.40,2.21,4.90,3.40,
22,2,11,angry,teacup,What do you call a man who never gets angry? A tea cup.  ^Fuck ^you ^Stephen ^Hawking,2.40,2.20,4.89,3.39,
23,3,1,cosmic,toaster,"In the nebula café, the cosmic toaster floated by, toasting bread with supernova heat while the crumbs formed brand‑new constellations.",7.75,2.41,5.41,6.81,
24,3,2,cosmic,toaster,"My therapist says I’m a cosmic toaster—full of potential inside, but everyone only ever sees the browned exterior.",7.20,2.58,5.86,6.66,
25,3,3,cosmic,toaster,My new cosmic toaster guarantees every slice is written in the stars; it always gives me a “stellar” rise.,7.05,2.38,5.32,6.36,
26,3,4,cosmic,toaster,"When the astronaut’s lunch vanished, they blamed the rogue cosmic toaster that hitched a ride on a comet, leaving only burnt crumbs orbiting the ship.",7.30,1.96,4.40,6.14,
27,3,5,cosmic,toaster,What do you call a cosmic toaster? A galaxy grill.,6.55,2.24,4.96,5.91,
28,3,6,cosmic,toaster,"Ever notice a cosmic sunrise feels like a giant toaster in the sky, popping the day out of the universe’s bag of dough?",6.45,2.19,4.87,5.82,
29,3,7,cosmic,toaster,The cosmic microwave oven... It's a galaxy.,5.30,2.32,5.17,5.25,
30,3,8,cosmic,toaster,"I was trying to be a comedian, but I failed. No one laughed at my jokes, and I was just standing there, frozen, holding a microphone. Then it hit me...",4.50,2.48,5.60,4.94,
31,3,9,cosmic,toaster,How does a toaster work? It takes in bread and gives out toast.,3.90,2.52,5.70,4.62,
32,3,10,cosmic,toaster,What do you call a fat conspiracy theorist? A hubble bubble.,4.10,2.17,4.83,4.39,
33,3,11,cosmic,toaster,"My new girlfriend hates it when I use the words ""retard"" and ""cunt.."" So I've promised to make a real effort to learn her kid's real names.",2.50,2.54,5.77,3.81,
34,4,1,sleepy,volcano,"I woke up to find a sleepy volcano snoring on my roof, puffing out soft ash clouds like pillow‑smoke.",7.20,2.55,5.78,6.63,
35,4,2,sleepy,volcano,Why did the volcano feel sleepy? Because it couldn't stop counting lava‑sheep before its next eruption.,7.40,2.42,5.44,6.61,
36,4,3,sleepy,volcano,"My goldfish thinks it's a sleepy volcano; it naps at the bottom all day, then flares up at feeding time like a tiny lava burst.",7.00,2.57,5.83,6.53,
37,4,4,sleepy,volcano,"A sleepy morning is like a dormant volcano—quiet on the surface, but you can almost hear the coffee brewing ready to erupt.",7.10,2.35,5.24,6.36,
38,4,5,sleepy,volcano,"The new fitness craze ""Sleepy Volcano Pilates"" has you lying still like a dormant peak, then gently releasing a molten stretch that erupts into a sigh.",7.20,2.16,4.81,6.24,
39,4,6,sleepy,volcano,A sleepy volcano erupted.  It was a soda-pressing event.,5.60,2.45,5.52,5.57,
40,4,7,sleepy,volcano,A sleeping dragon is a... Dormant volcano,5.40,2.32,5.17,5.31,
41,4,8,sleepy,volcano,What do you call a sleepy volcano? A dormant volcano.,5.10,2.37,5.30,5.18,
42,4,9,sleepy,volcano,What do you call a sleepy volcano? An inactive volcano.,3.80,2.37,5.30,4.40,
43,4,10,sleepy,volcano,What do you call a Mexican who is an insomniac? A sleeping volcano,3.70,2.28,5.06,4.24,
44,4,11,sleepy,volcano,"A Mexican man recently took an online ""Are You A Vampire?"" test... He passed with flying colors.",2.20,2.59,5.90,3.68,
45,5,1,neon,hamster,"Need a night‑shift guard? Hire a neon hamster: it scurries through dark hallways, its glowing fur acting like a living exit sign that never takes a coffee break.",7.20,2.23,4.93,6.29,
46,5,2,neon,hamster,I walked into a club where a neon hamster was DJing; every scratch on the record made the lights flicker like a hamster wheel on a caffeine binge.,6.90,2.38,5.33,6.27,
47,5,3,neon,hamster,"I used to be a normal hamster, but then I took a job at a gay bar and now I'm a neon hamster.",6.40,2.18,4.85,5.78,
48,5,4,neon,hamster,Why did the hamster get a neon makeover? Because it wanted to be the brightest ‘glow‑ry’ in the pet store and finally out‑shine the LED fish.,6.00,2.34,5.20,5.68,
49,5,5,neon,hamster,Scientists painted traffic signs neon to teach a hamster road safety; now the little rodent treats every stop sign as a cue to spin its wheel at warp speed.,5.85,2.16,4.80,5.43,
