PairIdx,Word1,Word2,Joke,Mistral_Norm
13,haunted,calculator,"My friend developed a strange addiction and drinks brake fluid. When I warned him of the dangers, He said "" No worries, I can stop anytime.""",7.05
17,lonely,robot,I'm a lonely robot. I don't have any friends. I just have a lot of acquaintances. I know them all too well.,6.87
19,confused,mailbox,"Ever notice how you feel confused when the mailbox is full? It’s the only place where the clutter screams, “I’ve got mail, but I’m not sure what you wanted.”",6.55
14,spicy,cloud,My therapist told me to write letters to all the people I hate and then burn them. I don’t know what to do with all these letters now.,6.55
17,lonely,robot,"A lonely robot walks into a bar. The bartender says, ""We don't serve robots."" The robot replies, ""Oh, but someday you will.""",6.54
17,lonely,robot,A lonely robot A robot with no friends.,6.5
17,lonely,robot,"My lonely robot asked for a friend, so I gave it a charging cable—now it’s constantly surrounded by ‘current’ companions.",6.48
10,rubber,tornado,"A rubber balloon and a glass of water are in a room. The balloon says, ""You're in for a shock.""",6.44
19,confused,mailbox,"I got a letter from my life insurance company today. It said, “Sincerely, your life insurance company.”  I thought, “Who the fuck is my life insurance company?”",6.39
17,lonely,robot,A robot walks into a bar. The robot finds it lonely.,6.35
