Source,Headline,Joke,Mistral_Norm
Llama,Carra: Liverpool must sign in January - even after summer spending spree,A friend of mine died recently A friend of mine died recently  due to his obsession with pretending he was a detective.  He was always one step behind.,6.42
Llama,No place for Mostert distraction in South Africa team,There's a kid in our area who keeps stealing wheels from parked police cars The cops are working tirelessly to catch him,5.92
Llama,Carra: Liverpool must sign in January - even after summer spending spree,I have no idea why Liverpool haven't signed any new players this summer. Even though they have a spending spree every January.,5.68
GPT,Experts warn of health threat posed by ultra-processed foods,I always knew my snack aisle was a hazard zone—my cholesterol filed a restraining order.,5.66
Llama,Experts warn of health threat posed by ultra-processed foods,Experts warn of health threat posed by ultra-processed foods. A new study shows a link between fast food consumption and depression.   Some say this is a cry for help.,5.62
GPT,Experts warn of health threat posed by ultra-processed foods,The only thing threatening my health is the threat that my pizza will start filing taxes.,5.54
Llama,Experts warn of health threat posed by ultra-processed foods,What's the difference between processed and unprocessed food? You can't get your teeth stuck in unprocessed food.,5.31
Llama,Experts warn of health threat posed by ultra-processed foods,"Experts warn of health threat posed by ultra-processed foods But don't worry, they say, the same is not true of moderately processed foods.",5.31
Llama,Panamanian lawmakers’ Taiwan trip sparks diplomatic row with China,What's the difference between a politician and a prostitute? The prostitute can wash her crack and sell it again.,5.25
Llama,Dick Cheney funeral: George W. Bush delivers eulogy,George W. Bush will be giving a eulogy at Dick Cheney's funeral. It's a good thing George has a problem remembering the names of world leaders.,5.17
