sentence;word;explanation;first_new_sentence;second_new_sentence
What do you call a turtle without its shell? dead.; shell; The word "shell" can mean the hard outer layer of a turtle or a type of ammunition.; The turtle retreated into its shell for protection.; The soldier loaded a shell into the cannon.
What is a pokemon master's favorite kind of pasta? wartortellini!; wartortellini; The word "wartortellini" is a pun on "Wartortle" (a Pokémon) and "tortellini" (a type of pasta).; Wartortle is a water-type Pokémon known for its strong defense.; Tortellini is a ring-shaped pasta often stuffed with cheese or meat.
Why do native americans hate it when it rains in april? because it brings mayflowers.; mayflowers; The word "mayflowers" refers to the flowers that bloom in May and the ship "Mayflower."; The garden was full of mayflowers in early spring.; The Mayflower carried Pilgrims to the New World in 1620.
How are music and candy similar? we throw away the rappers.; rappers; The word "rappers" can refer to musicians who perform rap or the wrapping around candy.; The rappers performed at the concert last night.; She removed the rappers from the candy before eating it.
What do you call an explanation of an asian cooking show? a wok-through.; wok; The word "wok" refers to a cooking pan and sounds like "walk" in "walk-through."; She used a wok to stir-fry the vegetables.; The museum offered a wok-through of the new exhibit.
Why did little miss muffet have gps on her tuffet? to keep her from losing her whey.; whey; The word "whey" refers to the liquid part of milk and sounds like "way."; Whey is a byproduct of cheese production.; She found her way home using the GPS.
All pants are breakaway pants if you're angry enough; breakaway; The word "breakaway" can mean to separate or to escape.; The breakaway group formed their own organization.; The cyclist made a breakaway from the pack.
I'd tell you a chemistry joke but i know i won't get a reaction; reaction; The word "reaction" can refer to a chemical process or a response.; The chemical reaction produced a lot of heat.; His reaction to the news was one of surprise.
Did you know diarrhea is genetic? it runs in your jeans; runs; The word "runs" can mean to move quickly on foot or to flow (as in diarrhea).; She runs every morning to stay fit.; The paint runs down the wall when it rains.
What do you call a clan of barbarians you cant see? invisigoths; invisigoths; The word "invisigoths" is a pun on "invisible" and "Visigoths" (a barbarian tribe).; The Visigoths were a Germanic tribe that played a role in the fall of the Roman Empire.; The invisigoths remained unseen during the battle.
Why shouldn't you change around a pokemon? because he might peek at chu.; peek; The word "peek" can mean to look quickly or to sound like "Pikachu."; She took a peek through the window.; Pikachu is a popular Pokémon known for its electric abilities.
What do chicken families do on saturday afternoon? they go on peck-nics !; peck; The word "peck" can mean to strike with a beak or to sound like "picnic."; The chicken began to peck at the ground for food.; They planned a peck-nic for the weekend.
What does jcpenny and teenagers have in common? pants 50% off; pants; The word "pants" can refer to clothing or to be out of breath.; He bought new pants at the store.; After running, he was completely pants.
Knock knock who's there ? cotton ! cotton who ? cotton a trap !; cotton; The word "cotton" can refer to the fabric or to sound like "caught in."; She wore a dress made of cotton.; He was cotton a trap set by his friends.
What do you call a black guy whose hitch-hiking? stranded!; stranded; The word "stranded" can mean left without transportation or to refer to a type of wire.; The travelers were stranded at the airport.; The stranded wire was used for electrical connections.
Why do they say all minorities look the same? because once you've seen juan, you've seen jamaul.; juan; The word "Juan" is a common Hispanic name and sounds like "one."; Juan is a popular name in Spanish-speaking countries.; Once you've seen one, you've seen them all.
Yo momma so ugly .. her portraits hang themselves; hang; The word "hang" can mean to suspend or to commit suicide.; She decided to hang the picture on the wall.; The old man threatened to hang himself if things didn't improve.
